title,price,area,price_m2,lon,lat
Prodej bytu 2+kk 54 m² ,3827008, 54, 70870, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3942002, 54, 73000, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3810587, 54, 70566, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3810169, 54, 70558, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3707666, 54, 68660, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3978989, 54, 73684, 14.5250956, 50.1100336
Prodej bytu 1+kk 51 m² ,3990000, 51, 78235, 14.5174800488, 50.110603028
Prodej bytu 2+kk 55 m² ,3435000, 55, 62454, 14.513969, 50.111332
Prodej bytu 2+kk 58 m² ,3534000, 58, 60931, 14.513969, 50.111332
Prodej bytu 2+kk 63 m² ,2950000, 63, 46825, 14.6151232956, 50.0805510243
Prodej bytu 2+kk 50 m² ,3695000, 50, 73900, 14.5277881622, 50.1099556644
Prodej bytu 2+kk 54 m² ,3385000, 54, 62685, 14.5174800488, 50.110603028
Prodej bytu 2+kk 57 m² ,3434000, 57, 60245, 14.5174800488, 50.110603028
Prodej bytu 2+kk 54 m² ,3490000, 54, 64629, 14.5129533289, 50.103560386
Prodej bytu 2+kk 51 m² ,3534000, 57, 62000, 14.5277479, 50.1101027
Prodej bytu 2+kk 62 m² ,3399000, 66, 51500, 14.5519865, 50.1377912
Prodej bytu 2+kk 55 m² ,3500000, 55, 63636, 14.5758530516, 50.1418422007
Prodej bytu 3+kk 68 m² ,3490000, 68, 51323, 14.4688838805, 50.0992821048
Prodej bytu 1+kk 56 m² ,3397000, 56, 60660, 14.4875772194, 50.1006418415
Prodej bytu 1+kk 56 m² ,3397000, 56, 60660, 14.4875772194, 50.1006418415
Prodej bytu 2+kk 55 m² ,3800000, 55, 69090, 14.5755618, 50.1415477
Prodej bytu 2+kk 55 m² ,3500000, 55, 63636, 14.5755618, 50.1415477
Prodej bytu 1+kk 51 m² ,3534000, 51, 69294, 14.5188608, 50.1112366
